N,LOCATION,LAT,LON,STN_CHAN,PERCENT_UP
48,CUBA REGION,19.976480,-76.415129,CHIV_HHZ.CW.00,100.2
49,NEAR THE COAST OF JALISCO MEXICO,19.499000,-105.043000,CJIG_BHZ.MX.--,76.5
50,JALISCO MEXICO,19.170000,-103.983101,CLMX_BHZ.UC.00,0.0
51,NICARAGUA,12.500000,-86.698502,CNGN_BHZ.NU.--,52.1
52,COSTA RICA,10.719500,-84.401900,COVE_HHZ.OV.--,99.2
53,PUERTO RICO REGION,18.036800,-65.915100,CPD_BHZ.PR.--,0.0
54,NEAR THE COAST OF NICARAGUA,12.700000,-87.050003,CRIN_BHZ.NU.--,95.2
55,NEAR THE NORTH COAST OF COLOMBIA,11.020000,-72.881500,CRJC_BHZ.CM.00,99.6
56,CENTRAL MEXICO,19.329000,-99.178000,CUIG_BHZ.MX.--,0.0
57,PUERTO RICO REGION,18.326388,-65.300555,CULB_BHZ.PR.--,0.0
58,PUERTO RICO REGION,18.307460,-65.282628,CUPR_HHZ.PR.00,22.3
59,VENEZUELA,10.012800,-69.961100,CURV_BHZ.VE.--,0.0
60,VENEZUELA,10.921900,-70.636200,DABV_BHZ.VE.--,0.0
61,LEEWARD ISLANDS,16.288680,-61.765236,DHS_BHZ.WI.00,99.1
62,LEEWARD ISLANDS,15.332500,-61.246800,DLPL_BHZ.TR.--,0.0
63,LEEWARD ISLANDS,16.312799,-61.066101,DSD_BHZ.WI.00,99.7
64,LEEWARD ISLANDS,15.483000,-61.421000,DSLB_BHZ.TR.--,99.7
65,FLORIDA PENINSULA,28.110300,-81.432800,DWPF_BHZ.IU.00,95.1
66,PUERTO RICO REGION,18.318750,-66.362880,ECPR_HHZ.PR.00,100.1
67,PUERTO RICO REGION,18.477098,-66.529495,EMPR_HHZ.PR.00,91.2
68,PUERTO RICO REGION,18.216646,-65.656591,FAPR_HHZ.PR.00,98.6
69,WINDWARD ISLANDS,14.734930,-61.159728,FDFM_BHZ.G.10,0.0
70,NORTH OF HONDURAS,19.312851,-81.183533,FSCY_HHZ.CY.01,99.5
71,PUERTO RICO REGION,17.975100,-66.879204,GBPR_SHZ.PR.--,0.0
72,WINDWARD ISLANDS,12.486000,-61.426000,GCMP_BHZ.TR.--,2.6
